id	url	html_path	headers_path	html_sha256	headers_sha256	retrieved_at	http_status	last_modified	notes
ide/features	https://developers.openai.com/codex/ide/features	knowledge/primary/CODX/pages/ide/features/index.html	knowledge/primary/CODX/pages/ide/features/response-headers.txt	c1946dac63444f6aa6f5e17463573b103e609f5d7836554631863f707eb11302	bde96a08be98ccfd8d05b9a4bb04e0ad610c9eca5c87c37bdc633a5e7eed1de0	2026-06-08T13:21:27Z	200	Mon, 08 Jun 2026 12:49:55 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/settings	https://developers.openai.com/codex/ide/settings	knowledge/primary/CODX/pages/ide/settings/index.html	knowledge/primary/CODX/pages/ide/settings/response-headers.txt	8ce279e61be68e9b21e4c3df71aab74e9ff5699f47c688fffedc97624c5f3e7b	559910ceec6f0fb01b13bc901183883c3428d973c32976ccede040e0e61234cf	2026-06-08T13:21:29Z	200	Mon, 08 Jun 2026 13:12:40 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
ide/slash-commands	https://developers.openai.com/codex/ide/slash-commands	knowledge/primary/CODX/pages/ide/slash-commands/index.html	knowledge/primary/CODX/pages/ide/slash-commands/response-headers.txt	cb2386492a3ad8f7adfc87bfde8526e33fef9bd52d7b20904a4b29cfd17384a6	3dfed1891e7adce70922af95f240443ac681825e71e7c20e7e142e411217c573	2026-06-08T13:21:30Z	200	Mon, 08 Jun 2026 12:57:20 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
integrations/github	https://developers.openai.com/codex/integrations/github	knowledge/primary/CODX/pages/integrations/github/index.html	knowledge/primary/CODX/pages/integrations/github/response-headers.txt	bdfeee090b4126a25361fc7f99bfc477965be46fbf460591fdc433ccc1606325	23982aa01876cb2df445835102c8875fec98d1245aa5117e995fabf4fb007a05	2026-06-08T13:21:32Z	200	Mon, 08 Jun 2026 12:34:09 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
integrations/linear	https://developers.openai.com/codex/integrations/linear	knowledge/primary/CODX/pages/integrations/linear/index.html	knowledge/primary/CODX/pages/integrations/linear/response-headers.txt	09d03f417ff47ea1ea41019694ea7f7b2bb511b1cd35030f46b044ccba5bf5a4	e7f9c6360df4b318047174c8c8ed8474ede33c790155b843838c9539df03ca5f	2026-06-08T13:21:34Z	200	Mon, 08 Jun 2026 12:31:46 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
integrations/slack	https://developers.openai.com/codex/integrations/slack	knowledge/primary/CODX/pages/integrations/slack/index.html	knowledge/primary/CODX/pages/integrations/slack/response-headers.txt	8759ab50de8231e93c799d7a7edbf61f61a250d5f11678cd06a8c019f0bb00fa	c43322c3627b50252525d48e07f440b88c5ad8a54632b53d570ff668d6eafdf2	2026-06-08T13:21:35Z	200	Mon, 08 Jun 2026 12:52:06 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
learn/best-practices	https://developers.openai.com/codex/learn/best-practices	knowledge/primary/CODX/pages/learn/best-practices/index.html	knowledge/primary/CODX/pages/learn/best-practices/response-headers.txt	aef5877ab926d6900830deeae5ee61fbf8728486e1271eb19b553271d43794c5	a2313b38efb4fa1d3b3778a541e01dcef16dcb97d2ceb56bcb12f6d76f32694a	2026-06-08T13:21:37Z	200	Mon, 08 Jun 2026 12:43:24 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
mcp	https://developers.openai.com/codex/mcp	knowledge/primary/CODX/pages/mcp/index.html	knowledge/primary/CODX/pages/mcp/response-headers.txt	c81aad2adca277096d306d176f1873138fe440f4902ee15401f1d086c5b8f66e	960fb2dee6763d66f87aad103f1757e628c01169cfd22d277d9fa40389758343	2026-06-08T13:21:39Z	200	Mon, 08 Jun 2026 12:31:39 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
memories	https://developers.openai.com/codex/memories	knowledge/primary/CODX/pages/memories/index.html	knowledge/primary/CODX/pages/memories/response-headers.txt	17afa656fa643e9d5e1074771999439b98218243a4eabe354a7d50897759d27e	eff934ba2315fb1247fa222dca934eb3672f46fbcaa7d0e3ea717b1fafd7a4b5	2026-06-08T13:21:41Z	200	Mon, 08 Jun 2026 12:47:12 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
memories/chronicle	https://developers.openai.com/codex/memories/chronicle	knowledge/primary/CODX/pages/memories/chronicle/index.html	knowledge/primary/CODX/pages/memories/chronicle/response-headers.txt	46987b6cb845bcb08069f16e8200d68ccd0785e9bcf9cbed22dd40e74ca05c2a	5212ada0f8fabfe045263f19d6eedf677e90bf2655bfb4b9146c4210e3f526d7	2026-06-08T13:21:42Z	200	Mon, 08 Jun 2026 13:12:54 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
migrate	https://developers.openai.com/codex/migrate	knowledge/primary/CODX/pages/migrate/index.html	knowledge/primary/CODX/pages/migrate/response-headers.txt	7ffe253b898e3f77b93613b55ed8419897c29a309f5ef5160d81dcd261b0d0b9	5c340962dcccdd3b2dbacb2dfa6fba6262f85e4a3d5c5bc133af23279d00bc5f	2026-06-08T13:21:44Z	200	Mon, 08 Jun 2026 12:28:39 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
models	https://developers.openai.com/codex/models	knowledge/primary/CODX/pages/models/index.html	knowledge/primary/CODX/pages/models/response-headers.txt	0364e3be22d3163905b251495a6043686505ec054e5d9ce503a465b12a07d159	25789786a4dbc4c50919441e0b998c4c7ef66518b2882236880810f601bde811	2026-06-08T13:21:46Z	200	Mon, 08 Jun 2026 12:29:01 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
noninteractive	https://developers.openai.com/codex/noninteractive	knowledge/primary/CODX/pages/noninteractive/index.html	knowledge/primary/CODX/pages/noninteractive/response-headers.txt	0f9ab5feb0c9ec5e9ba5add2367289cfb1ed22dbb30fc2bc59caaade49956055	111fa9449f7befa73a7028de7f936995394d9cd8a1d2d0fc3a346a7308e0c91a	2026-06-08T13:21:48Z	200	Mon, 08 Jun 2026 12:36:27 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
permissions	https://developers.openai.com/codex/permissions	knowledge/primary/CODX/pages/permissions/index.html	knowledge/primary/CODX/pages/permissions/response-headers.txt	3c4a9cffd87cbba081b234a4e3fb65671cbd143262160106e7afec7b876d72a5	e5b02807459d5b86af6b13b0d6dc332060ff1c7ec2277e5e1ddc392414f2d7d0	2026-06-08T13:21:50Z	200	Mon, 08 Jun 2026 12:36:24 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
plugins	https://developers.openai.com/codex/plugins	knowledge/primary/CODX/pages/plugins/index.html	knowledge/primary/CODX/pages/plugins/response-headers.txt	4c2b0e3cc74b4753d7c370d1db947006d097199dbb343295b956fe59c327fe36	33ed831de227a66426984c6fd78c1eb5da60be8924633f6180d57223cae49c49	2026-06-08T13:21:51Z	200	Mon, 08 Jun 2026 12:33:08 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
plugins/build	https://developers.openai.com/codex/plugins/build	knowledge/primary/CODX/pages/plugins/build/index.html	knowledge/primary/CODX/pages/plugins/build/response-headers.txt	7fa2cd41afbde10760407712e70d636a02d63404323d951fe1405f6d841a2c62	2fe00faa4ac71597253ea36a85d4ab5b7d68a18871b4b7c99e93ef01be740cc0	2026-06-08T13:21:53Z	200	Mon, 08 Jun 2026 12:37:22 GMT	Full HTML snapshot saved locally; page is public and kept with redacted headers.
